,year_month,interest_rate
0,202405,3.56
1,202404,3.54
2,202403,3.59
3,202402,3.62
4,202401,3.66
5,202312,3.84
6,202311,4.0
7,202310,3.97
8,202309,3.82
9,202308,3.66
10,202307,3.69
11,202306,3.7
12,202305,3.56
13,202304,3.44
14,202303,3.56
15,202302,3.53
16,202301,3.82
17,202212,4.29
18,202211,4.34
19,202210,3.98
20,202209,3.4
21,202208,2.96
22,202207,2.9
23,202206,2.38
24,202205,1.98
25,202204,1.84
26,202203,1.72
27,202202,1.7
28,202201,1.64
29,202112,1.69
30,202111,1.55
31,202110,1.29
32,202109,1.16
33,202108,1.02
34,202107,0.95
35,202106,0.92
36,202105,0.82
37,202104,0.82
38,202103,0.84
39,202102,0.83
40,202101,0.86
41,202012,0.9
42,202011,0.9
43,202010,0.87
44,202009,0.88
45,202008,0.8
46,202007,0.81
47,202006,0.89
48,202005,1.06
49,202004,1.2
